datafile,,
nsg64,,
1,0.3226,7.106671
1,0.6671,4.251939
1,0.7331,3.304834
1,0.7645,2.725634
1,0.7779,2.299737
1,0.7879,1.998414
1,0.7939,1.779598
1,0.7978,1.606156
1,0.7999,1.452656
1,0.8013,1.330201
1,0.8028,1.222788
1,0.8039,1.151025
1,0.8041,1.014011
1,0.805,1.024375
1,0.8059,0.949902
1,0.8053,0.913609
1,0.8061,0.864812
1,0.8068,0.809312
1,0.8075,0.784403
10,0.74105,3.403384
10,0.78958,2.791952
10,0.81443,2.372398
10,0.82885,2.022918
10,0.83748,1.782376
10,0.84369,1.607164
10,0.84826,1.473063
10,0.85136,1.353213
10,0.85383,1.238356
10,0.85542,1.14953
10,0.85716,1.089136
10,0.85807,1.011853
10,0.85904,0.95541
10,0.85987,0.921883
10,0.86017,0.870832
10,0.86048,0.847257
10,0.86092,0.790125
50,0.859484,1.256802
50,0.864444,1.154408
50,0.868062,1.093055
50,0.870894,1.023997
50,0.873302,0.94173
50,0.875274,0.918729
50,0.876788,0.882742
50,0.87815,0.83491
50,0.879244,0.794108
50,0.88025,0.764573
50,0.880986,0.729561
50,0.881758,0.70682
50,0.88232,0.679968
50,0.883018,0.653252
50,0.883486,0.593658
50,0.883866,0.611165
50,0.884186,0.589203
50,0.884522,0.570362
100,0.882854,0.725184
100,0.884294,0.699027
100,0.885528,0.670629
100,0.886536,0.650077
100,0.887405,0.630369
100,0.888244,0.60505
100,0.888803,0.585524
100,0.889436,0.571684
100,0.890029,0.555174
100,0.890466,0.531521
100,0.890982,0.522105
100,0.891328,0.511864
100,0.891656,0.476225
nsg32,,
1,0.258900,8.896832
1,0.532200,5.183707
1,0.579100,3.978969
1,0.600600,3.295173
1,0.610000,2.828044
1,0.614900,2.433599
1,0.618200,2.116856
1,0.620200,1.930129
1,0.621400,1.781473
1,0.622500,1.636348
1,0.623800,1.511011
1,0.624000,1.416886
1,0.624200,1.330869
1,0.625300,1.257430
1,0.625200,1.182083
1,0.625800,1.125409
1,0.626300,1.041749
1,0.626700,0.953739
1,0.626800,0.907135
1,0.627200,0.815492
10,0.637620,4.179899
10,0.670310,3.405268
10,0.685580,2.801828
10,0.693930,2.437204
10,0.699290,2.210000
10,0.702590,1.966474
10,0.705040,1.796480
10,0.706920,1.659487
10,0.707920,1.516837
10,0.708070,1.418593
10,0.708650,1.320612
10,0.709200,1.248547
10,0.709660,1.190536
10,0.710090,1.125788
10,0.710350,1.056450
10,0.710650,1.006050
10,0.710720,0.974821
10,0.710890,0.925982
50,0.740764,1.547209
50,0.743428,1.416710
50,0.745484,1.247617
50,0.747300,1.230583
50,0.748516,1.185726
50,0.749680,1.130969
50,0.750274,1.055251
50,0.750878,1.028138
50,0.751460,0.973450
50,0.751880,0.935707
50,0.752176,0.902076
50,0.752444,0.863407
50,0.752752,0.837318
50,0.752996,0.809414
50,0.753230,0.773122
50,0.753448,0.753741
50,0.753506,0.730838
50,0.753616,0.699636
50,0.753786,0.694318
50,0.753864,0.643359
100,0.765082,0.892197
100,0.765708,0.868442
100,0.766231,0.836897
100,0.766703,0.806310
100,0.767166,0.767705
100,0.767560,0.752101
100,0.767816,0.711965
100,0.768131,0.694523
100,0.768361,0.684929
100,0.768552,0.659143
100,0.768776,0.642095
100,0.768865,0.625797
100,0.768996,0.613418
100,0.769104,0.585506
100,0.769207,0.583593
nsg128,,
1,0.348300,5.627282
1,0.733500,3.228413
1,0.820500,2.596382
1,0.854400,2.090592
1,0.873300,1.803893
1,0.884400,1.586882
1,0.892100,1.417614
1,0.895500,1.260046
1,0.900700,1.133994
1,0.903400,1.043773
1,0.905700,0.964490
1,0.907000,0.870562
1,0.907400,0.852846
1,0.908200,0.797196
1,0.910100,0.748218
1,0.910100,0.709295
1,0.911000,0.682901
1,0.911300,0.634223
1,0.912000,0.590284
10,0.780480,2.741935
10,0.841530,2.167535
10,0.871970,1.857009
10,0.892280,1.624667
10,0.905190,1.450683
10,0.913190,1.290920
10,0.919270,1.183851
10,0.923730,1.051624
10,0.927420,0.997658
10,0.929930,0.926273
10,0.931990,0.840792
10,0.933110,0.809394
10,0.934520,0.775292
10,0.935570,0.720351
10,0.936300,0.690563
10,0.936970,0.653967
10,0.937580,0.636200
10,0.937900,0.605034
10,0.938170,0.578355
50,0.912066,0.986493
50,0.918898,0.924027
50,0.924398,0.860636
50,0.928804,0.809189
50,0.932414,0.765583
50,0.935396,0.708137
50,0.937838,0.676888
50,0.939836,0.654422
50,0.941564,0.624136
50,0.942842,0.605287
50,0.944050,0.574843
50,0.945118,0.551722
50,0.945902,0.535075
50,0.946584,0.521750
50,0.947318,0.380894
100,0.938323,0.581867
100,0.942077,0.535444
100,0.944915,0.507550
100,0.947099,0.464236
100,0.948854,0.428898
100,0.950161,0.414219
100,0.951249,0.395015
100,0.952069,0.375223
100,0.952781,0.355065
100,0.953372,0.336378
100,0.953881,0.326981
100,0.954272,0.315900
100,0.954594,0.303427
100,0.954876,0.294283